Key,Value
BPM,60.0000
StartTime,11.4581
scoreCounter,51.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player28OnsetTimes,12.8408,15.4218,16.6998,17.5862,18.3492,20.1694,21.2679,22.1176,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player29OnsetTimes,14.1023,15.1392,15.4955,17.6475,19.2802,20.1454,20.9883,22.6961,23.9880,24.7996,25.4752,26.3128,27.4087,28.6538,29.8562,30.9050,31.8203,32.7093,33.6678,34.7234,35.8172,36.8858,37.8946,38.8621,39.8365,40.8408,41.8872,42.9393,43.9707,44.9684,45.9658,46.9619,47.9935,49.0337,50.0623,51.0860,52.1073,53.1217,54.1409,55.1658,56.1892,57.2198,58.2490,59.2645,60.2842,61.3084,62.3291,63.3264,64.3214,65.3230,66.3331
Player30OnsetTimes,12.8282,15.4097,16.6998,17.5862,18.3492,20.1694,21.2679,22.1176,23.2048,24.4508,25.7167,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player31OnsetTimes,12.9235,15.0002,16.2189,17.4028,18.5198,19.5772,21.5462,22.8305,23.7279,24.4625,25.3446,26.4538,27.6703,28.8343,29.8681,30.7967,31.7127,32.6975,33.7497,34.8337,35.8778,36.8858,37.8581,38.8373,39.8483,40.8887,41.9348,42.9621,43.9707,44.9684,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player32OnsetTimes,13.1521,15.2232,16.2667,17.2941,18.3607,19.4912,21.6913,23.0334,23.8230,24.4032,25.2136,26.3494,27.6586,28.8940,29.9285,30.8091,31.6875,32.6600,33.7269,34.8337,35.9023,36.8976,37.8581,38.8260,39.8365,40.8765,41.9348,42.9621,43.9707,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player33OnsetTimes,12.7084,15.2954,16.6637,17.6351,18.4240,20.1818,21.2323,22.0697,23.1806,24.4625,25.7413,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player34OnsetTimes,13.4647,15.0122,15.8322,17.0036,18.3986,19.7356,20.8086,21.9840,23.4227,24.7755,25.9034,26.8027,27.6236,28.5454,29.6171,30.7605,31.8813,32.9040,33.8577,34.7958,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9267,43.9596,44.9919,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3670,65.3715,66.3489
Player35OnsetTimes,12.8646,15.4470,16.7117,17.5742,18.3242,20.1576,21.2801,22.1296,23.2048,24.4389,25.7050,26.8268,27.7783,28.6656,29.6042,30.6527,31.7605,32.8556,33.8824,34.8456,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9444,45.9772,47.0107,48.0383,49.0494,50.0623,51.0706,52.1073,53.1564,54.1895,55.2052,56.2044,57.2198,58.2490,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player36OnsetTimes,12.6838,15.2721,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1806,24.4857,25.7649,26.8508,27.7671,28.6415,29.5921,30.6527,31.7721,32.8684,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player37OnsetTimes,13.0922,15.1624,16.2548,17.3192,18.3986,19.5042,21.6549,22.9974,23.8109,24.4147,25.2370,26.3729,27.6586,28.8811,29.9166,30.8091,31.6875,32.6600,33.7383,34.8456,35.9023,36.8976,37.8581,38.8260,39.8365,40.8887,41.9466,42.9734,43.9707,44.9564,45.9658,46.9854,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player38OnsetTimes,13.0922,15.1624,16.2548,17.3192,18.3986,19.5042,21.6549,22.9974,23.8109,24.4147,25.2370,26.3729,27.6586,28.8811,29.9166,30.8091,31.6875,32.6600,33.7383,34.8456,35.9023,36.8976,37.8581,38.8260,39.8365,40.8887,41.9466,42.9734,43.9707,44.9564,45.9658,46.9854,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2044,57.2355,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player39OnsetTimes,13.6195,15.1741,15.8796,16.9318,18.2889,19.6755,20.8328,22.0456,23.4700,24.7877,25.8747,26.7539,27.5995,28.5588,29.6412,30.7845,31.8813,32.8921,33.8326,34.7840,35.7813,36.8235,37.8826,38.9218,39.9336,40.9245,41.9219,42.9267,43.9484,44.9798,46.0110,47.0230,48.0383,49.0494,50.0806,51.1028,52.1252,53.1564,54.1895,55.2219,56.2355,57.2517,58.2648,59.2804,60.2998,61.3244,62.3453,63.3585,64.3519,65.3548,66.3489
Player40OnsetTimes,12.6699,15.2602,16.6637,17.6593,18.4489,20.1576,21.1826,22.0336,23.1928,24.4987,25.7771,26.8626,27.7671,28.6300,29.5795,30.6527,31.7840,32.8800,33.8824,34.8337,35.7813,36.7763,37.8226,38.8864,39.9336,40.9369,41.9219,42.9143,43.9346,44.9684,45.9996,47.0107,48.0236,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
Player41OnsetTimes,13.1521,15.2232,16.2667,17.2941,18.3607,19.4912,21.6913,23.0334,23.8230,24.4032,25.2136,26.3494,27.6586,28.8940,29.9285,30.8091,31.6875,32.6600,33.7269,34.8337,35.9023,36.8976,37.8581,38.8260,39.8365,40.8765,41.9348,42.9621,43.9707,44.9684,45.9772,46.9854,48.0088,49.0337,50.0623,51.0860,52.1252,53.1564,54.1743,55.1831,56.2044,57.2355,58.2648,59.2804,60.2842,61.2912,62.3131,63.3426,64.3519,65.3548,66.3489
Player42OnsetTimes,13.0305,15.1036,16.2429,17.3549,18.4489,19.5336,21.6064,22.9255,23.7757,24.4389,25.2846,26.4071,27.6703,28.8698,29.8926,30.7967,31.7002,32.6846,33.7497,34.8337,35.8778,36.8733,37.8463,38.8373,39.8599,40.9004,41.9348,42.9507,43.9596,44.9564,45.9772,46.9989,48.0236,49.0494,50.0806,51.1028,52.1252,53.1388,54.1571,55.1831,56.2198,57.2517,58.2648,59.2804,60.2998,61.3084,62.3131,63.3264,64.3366,65.3548,66.3489
Player43OnsetTimes,12.7203,15.3085,16.6759,17.6351,18.4111,20.1576,21.2202,22.0697,23.1928,24.4743,25.7528,26.8508,27.7783,28.6538,29.6042,30.6649,31.7721,32.8556,33.8704,34.8337,35.7937,36.7879,37.8226,38.8744,39.9096,40.9245,41.9219,42.9143,43.9230,44.9564,45.9996,47.0230,48.0383,49.0494,50.0623,51.0860,52.1252,53.1564,54.1743,55.2052,56.2198,57.2355,58.2490,59.2645,60.2842,61.3084,62.3291,63.3426,64.3519,65.3548,66.3489
