Key,Value
BPM,120.0000
StartTime,21.2211
scoreCounter,63.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,1.0000
VisualGudance,1.0000
FinishTrial,1.0000
Player29OnsetTimes,23.1900,25.2837,25.6636,26.4514,27.0752,27.5409,27.9335,29.0328,29.7658,30.1206,30.5848,31.6777,32.4087,32.8318,33.6280,34.1072,34.5631,35.1702,35.8563,36.4916,37.0187,37.4662,37.9107,38.4168,38.9748,39.5482,40.0947,40.6200,41.1264,41.6263,42.1453,42.6776,43.2230,43.7627,44.2862,44.8004,45.3198,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6545,52.1850,52.7265,53.2671,53.8028,54.3305,54.8565,55.3716,55.8831,56.4018,56.9309,57.4834,58.0325,58.5710,59.0766
Player30OnsetTimes,23.5082,25.0692,25.4970,26.5941,27.3507,27.7090,28.0895,28.9249,29.5345,29.9598,30.7488,31.3972,32.0058,32.6203,33.3192,33.9648,34.6489,35.3777,36.0106,36.5093,36.9322,37.3758,37.8929,38.4706,39.0489,39.5992,40.1112,40.6028,41.1098,41.6263,42.1637,42.7123,43.2578,43.7802,44.2862,44.8004,45.3392,45.8792,46.4186,46.9406,47.4522,47.9713,48.4978,49.0374,49.5807,50.1217,50.6470,51.1612,51.6736,52.1850,52.7051,53.2484,53.8028,54.3481,54.8728,55.3716,55.8831,56.4187,56.9658,57.5026,58.0325,58.5536,59.0766
Player31OnsetTimes,22.3884,24.9910,25.9550,26.5681,26.9973,27.3833,28.2836,28.9602,29.4463,30.2627,30.7306,31.1883,32.4613,33.2435,33.6103,33.9985,34.9442,35.6399,36.0621,36.3671,36.7406,37.2707,37.9281,38.5800,39.1379,39.5992,40.0388,40.5159,41.0552,41.6427,42.2188,42.7505,43.2409,43.7275,44.2501,44.8004,45.3567,45.8987,46.4186,46.9225,47.4340,47.9713,48.5175,49.0569,49.5807,50.1034,50.6100,51.1262,51.6545,52.2034,52.7494,53.2671,53.7838,54.3128,54.8371,55.3716,55.9013,56.4187,56.9487,57.4834,58.0147,58.5346,59.0577
Player32OnsetTimes,22.6301,25.2323,26.0196,26.4514,26.8269,27.7430,28.3182,28.7142,29.1770,30.3518,31.0096,31.3972,32.2525,32.8662,33.3905,34.3176,34.9442,35.4118,35.8397,36.3151,36.8473,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player33OnsetTimes,22.7890,24.8706,25.5392,26.2450,26.9696,27.5904,28.0732,29.1036,29.7488,30.0664,30.5650,31.7294,32.4778,32.8662,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0361,37.4495,37.8929,38.4168,38.9944,39.5820,40.1299,40.6375,41.1264,41.6263,42.1453,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.5026,58.0325,58.5536,59.0766
Player34OnsetTimes,22.3761,24.9778,25.9416,26.5681,27.0105,27.3993,28.2836,28.9426,29.4268,30.2812,30.7665,31.2057,32.4254,33.1919,33.5913,34.0548,34.5449,35.2038,35.9253,36.5434,37.0187,37.4320,37.8929,38.4343,39.0122,39.5820,40.1112,40.6200,41.1264,41.6427,42.1637,42.6956,43.2409,43.7802,44.3051,44.8185,45.3392,45.8617,46.3988,46.9406,47.4705,47.9875,48.4978,49.0194,49.5631,50.1034,50.6281,51.1434,51.6736,52.2034,52.7494,53.2856,53.8028,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,58.0147,58.5536,59.0766
Player35OnsetTimes,22.8256,24.9105,25.5523,26.2185,26.9290,27.5744,28.0732,29.1397,29.7823,30.0664,30.7488,31.3446,31.9692,32.6377,33.3731,34.0164,34.6685,35.3612,35.9942,36.5093,36.9503,37.3949,37.9107,38.4887,39.0671,39.6157,40.1112,40.6028,41.1098,41.6427,42.1831,42.7303,43.2578,43.7802,44.3051,44.8344,45.3567,45.8792,46.4186,46.9588,47.4880,48.0058,48.5175,49.0374,49.5631,50.1034,50.6470,51.1792,51.6909,52.2034,52.7265,53.2671,53.8028,54.3305,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0325,58.5710,59.0934
Player36OnsetTimes,22.6176,25.2185,26.0060,26.4514,26.8401,27.7602,28.3182,28.7142,29.1770,30.3518,31.0096,31.3972,32.2525,32.8662,33.3905,34.3176,34.9442,35.4118,35.8397,36.3151,36.8473,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player37OnsetTimes,22.6808,25.2984,26.0473,26.4393,26.7891,27.7269,28.3182,28.7311,29.1937,30.3339,30.9743,31.3620,32.2689,32.9190,33.4302,34.2819,34.8927,35.3777,35.8397,36.3318,36.8649,37.4320,38.0004,38.5255,39.0310,39.5304,40.0388,40.5663,41.1098,41.6626,42.1993,42.7123,43.2230,43.7449,44.2862,44.8185,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0374,49.5631,50.0853,50.6100,51.1434,51.6736,52.2034,52.7265,53.2484,53.7838,54.3128,54.8371,55.3716,55.9013,56.4352,56.9658,57.4834,57.9982,58.5346,59.0766
Player38OnsetTimes,23.0610,25.1370,25.6071,26.1146,26.7891,27.4921,28.0895,28.6780,29.3012,29.9252,31.0964,31.7917,32.1660,32.5135,33.6975,34.4239,34.8382,35.2390,35.7524,36.3482,36.9663,37.5384,38.0358,38.5060,38.9944,39.5104,40.0563,40.6200,41.1617,41.6791,42.1831,42.6956,43.2230,43.7627,44.3051,44.8344,45.3567,45.8792,46.3988,46.9225,47.4522,47.9875,48.5175,49.0569,49.5807,50.1034,50.6281,51.1612,51.6909,52.2241,52.7494,53.2671,53.7838,54.3128,54.8565,55.3907,55.9210,56.4352,56.9487,57.4834,58.0147,58.5536,59.0766
