Key,Value
BPM,90.0000
StartTime,130.9850
scoreCounter,45.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player35OnsetTimes,133.2951,134.3378,134.7425,136.2133,137.2657,137.8919,138.3562,139.9303,140.9116,141.3069,142.1827,142.9870,143.7591,144.4672,145.2011,145.9515,146.6911,147.5453,148.3770,149.1020,149.7261,150.4672,151.2735,152.0538,152.7490,153.3859,154.0328,154.7115,155.4353,156.1743,156.8990,157.5947,158.2964,159.7269,160.4555,161.1454,161.8624,162.5695,163.2781,163.9738,164.6506,165.3331,166.0312,166.7439,167.4408
Player36OnsetTimes,134.0630,134.5893,135.1076,136.1828,136.9599,137.5877,138.2640,139.2713,140.3179,141.1947,142.4998,143.3853,143.9351,144.7774,145.3729,146.4381,147.0444,147.5284,148.0817,149.5208,150.3413,150.7724,151.1137,151.6481,152.4303,153.3393,154.1880,154.8970,155.4961,156.0833,156.7578,157.4997,158.2964,159.8433,160.5549,161.1454,161.7627,162.4531,163.2103,163.9738,164.6887,165.3650,166.0150,166.6820,167.3798,168.1019
Player37OnsetTimes,132.4537,134.5275,135.3425,135.9501,137.2029,138.0186,138.5204,139.2262,140.0999,141.9126,142.7337,143.1091,143.8719,144.4987,145.1556,146.6242,147.4045,147.7576,148.0517,149.1650,150.0145,150.6950,151.2894,151.8779,152.5521,153.2933,154.0628,154.8038,155.4961,156.1589,156.8367,157.5329,158.2637,159.7591,160.5086,161.1601,161.8239,162.5139,163.2262,163.9502,164.6506,165.3331,166.0150,166.7121,167.4105,168.1019
Player38OnsetTimes,132.2531,134.3548,135.3275,136.0595,136.7036,138.1865,139.0638,139.6523,140.1302,141.3374,142.1212,142.9107,143.7435,144.5166,145.2791,146.0125,146.7083,147.5284,148.3454,149.0853,149.7484,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6099,158.2964,159.7116,160.4555,161.1601,161.8771,162.5864,163.2781,163.9738,164.6660,165.3650,166.0607,166.7594,167.4573
Player39OnsetTimes,132.0918,134.7100,135.7955,136.2810,136.8790,138.0186,138.7567,139.4492,140.1457,141.6475,142.4208,142.9870,143.5985,145.0138,145.8722,146.2369,146.7421,148.0019,148.7700,149.1501,149.7955,150.4892,151.2270,151.9759,152.6934,153.3699,154.0328,154.7115,155.4204,156.1433,156.8690,157.5795,158.2800,159.6971,160.4250,161.1147,161.8239,162.5535,163.2629,163.9502,164.6200,165.3033,166.0150,166.7273,167.4256,168.1019
Player40OnsetTimes,132.2838,134.3870,135.3275,136.0277,136.6735,138.2014,139.0946,139.6682,140.1148,141.2924,142.0899,142.9107,143.7767,144.5476,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9141,157.5947,158.2964,159.7427,160.4930,161.1820,161.8771,162.5695,163.2781,163.9910,164.6887,165.3650,166.0456,166.7273,167.4256
Player41OnsetTimes,132.1451,134.2284,135.2791,136.1064,136.7837,138.2014,139.0174,139.5918,140.0999,141.3981,142.2211,142.9710,143.7273,144.4672,145.2325,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player42OnsetTimes,132.1772,134.2594,135.2791,136.0748,136.7516,138.2163,139.0638,139.6217,140.0999,141.3522,142.1672,142.9407,143.7435,144.4987,145.2484,145.9963,146.7258,147.5607,148.3770,149.1020,149.7484,150.5061,151.3049,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6660,165.3486,166.0456,166.7439,167.4408
Player43OnsetTimes,132.2380,134.3227,135.2956,136.0432,136.7036,138.2163,139.0946,139.6523,140.1148,141.3225,142.1212,142.9256,143.7591,144.5323,145.2791,145.9963,146.6911,147.5138,148.3454,149.1020,149.7631,150.5208,151.3206,152.0702,152.7490,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6255,158.3114,159.7116,160.4400,161.1454,161.8771,162.6040,163.3096,163.9910,164.6506,165.3331,166.0456,166.7594,167.4573
Player44OnsetTimes,132.2080,134.2901,135.2956,136.0748,136.7362,138.2014,139.0483,139.6217,140.1148,141.3832,142.1827,142.9407,143.7273,144.4827,145.2484,146.0125,146.7421,147.5607,148.3615,149.0853,149.7261,150.5061,151.3206,152.0855,152.7641,153.3859,154.0328,154.7266,155.4651,156.2044,156.9292,157.6099,158.2964,159.7116,160.4555,161.1601,161.8771,162.5864,163.2781,163.9738,164.6660,165.3650,166.0607,166.7594,167.4573
