Key,Value
BPM,60.0000
StartTime,202.6151
scoreCounter,20.0000
Alpha,Medium
alphaUser,0.0500
alphaAuto,0.0070
AudioGudance,0.0000
VisualGudance,0.0000
FinishTrial,1.0000
Player20OnsetTimes,204.0574,206.1626,207.4443,208.4039,209.3185,210.3097,211.4173,212.5646,213.6744,214.7291,215.6850,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player21OnsetTimes,205.2465,206.2900,207.1040,207.9656,209.1153,210.4243,211.6754,212.7290,213.6445,214.5717,215.5469,216.6119,217.7068,218.7688,219.7681,220.7232,221.6878,222.6851,223.7169,224.7725
Player22OnsetTimes,204.2799,205.8508,206.9616,208.1535,209.4276,210.6098,211.6422,212.5814,213.5361,214.5717,215.6384,216.7225,217.7702,218.7525,219.7043,220.6763,221.7029,222.7538,223.7963,224.8029
Player23OnsetTimes,203.8597,205.9627,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player24OnsetTimes,205.6446,206.1779,207.2323,208.1702,209.2261,210.3779,211.5302,212.6137,213.6286,214.6354,215.6234,216.6438,217.6917,218.7193,219.7196,220.7070,221.7029,222.7166,223.7329,224.7571
Player25OnsetTimes,203.8124,205.9137,207.3671,208.5213,209.5041,210.4243,211.4009,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player26OnsetTimes,203.8269,205.9297,207.3827,208.5213,209.4887,210.4089,211.3839,212.4555,213.5824,214.7135,215.7502,216.7225,217.6917,218.6695,219.6887,220.7232,221.7508,222.7685,223.7647,224.7725
Player27OnsetTimes,203.8438,205.9466,207.3827,208.5044,209.4737,210.3936,211.3839,212.4706,213.5977,214.7135,215.7334,216.7065,217.6917,218.6858,219.7043,220.7232,221.7508,222.7685,223.7647,224.7725
Player28OnsetTimes,205.5149,206.0426,206.8819,207.9169,209.2261,210.5637,211.7214,212.6821,213.5670,214.5238,215.5622,216.6597,217.7537,218.7688,219.7356,220.6918,221.6878,222.7166,223.7491,224.7881
Player29OnsetTimes,203.8754,205.9787,207.3827,208.4889,209.4582,210.3936,211.4009,212.4863,213.6126,214.7135,215.7166,216.6916,217.6688,218.6695,219.7043,220.7383,221.7669,222.7685,223.7647,224.7725
Player30OnsetTimes,204.0731,206.1779,207.4443,208.4039,209.3185,210.3097,211.4173,212.5646,213.6744,214.7291,215.6850,216.6438,217.6533,218.6858,219.7196,220.7383,221.7508,222.7538,223.7491,224.7571
Player31OnsetTimes,205.0568,206.0927,207.1832,208.1850,209.2876,210.4400,211.5624,212.6137,213.6126,214.6210,215.6234,216.6597,217.7068,218.7354,219.7356,220.7070,221.7029,222.7166,223.7491,224.7881
Player32OnsetTimes,204.2011,206.2900,207.4598,208.3242,209.2261,210.2805,211.4488,212.6137,213.7129,214.7291,215.6534,216.6119,217.6370,218.7025,219.7517,220.7535,221.7341,222.7166,223.7329,224.7725
Player33OnsetTimes,204.0888,206.1779,207.4286,208.3887,209.3185,210.3321,211.4324,212.5646,213.6592,214.7135,215.6850,216.6597,217.6688,218.7025,219.7356,220.7383,221.7341,222.7320,223.7491,224.7725
Player34OnsetTimes,204.2948,205.8658,206.9616,208.1374,209.4120,210.6098,211.6591,212.5976,213.5361,214.5550,215.6234,216.7065,217.7537,218.7525,219.7196,220.6918,221.7029,222.7320,223.7647,224.7881
